price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHK,Nusa Tenggara Timur,2025,Q1,2025Q1,RSTU,Jasa Lainnya,325.37
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,A,"Pertanian, Kehutanan dan Perikanan",5951.33
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,B,Pertambangan dan Penggalian,226.18
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,C,Industri Pengolahan,275.85
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,D,Pengadaan Listrik dan Gas,19.09
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",14.65
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,F,Konstruksi,1865.6
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2792.96
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,H,Transportasi dan Pergudangan,992.12
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,I,Penyediaan Akomodasi dan Makan Minum,160.25
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,J,Informasi dan Komunikasi,1993.03
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,K,Jasa Keuangan dan Asuransi,816.04
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,L,Real Estate,460.25
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,MN,Jasa Perusahaan,27.6
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2692.65
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,P,Jasa Pendidikan,1681.76
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,PDRB,Produk Domestik Regional Bruto,20829.92
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,Q,Jasa Kesehatan dan Kegiatan Sosial,518.21
ADHK,Nusa Tenggara Timur,2025,Q2,2025Q2,RSTU,Jasa Lainnya,342.37
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,A,"Pertanian, Kehutanan dan Perikanan",5266.46
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,B,Pertambangan dan Penggalian,225.4
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,C,Industri Pengolahan,278.18
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,D,Pengadaan Listrik dan Gas,20.35
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",15.12
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,F,Konstruksi,2070.0
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2832.44
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,H,Transportasi dan Pergudangan,1010.54
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,I,Penyediaan Akomodasi dan Makan Minum,169.64
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,J,Informasi dan Komunikasi,2006.55
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,K,Jasa Keuangan dan Asuransi,866.81
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,L,Real Estate,473.64
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,MN,Jasa Perusahaan,29.44
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2632.32
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,P,Jasa Pendidikan,1691.69
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,PDRB,Produk Domestik Regional Bruto,20464.28
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,Q,Jasa Kesehatan dan Kegiatan Sosial,526.15
ADHK,Nusa Tenggara Timur,2025,Q3,2025Q3,RSTU,Jasa Lainnya,349.55
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,A,"Pertanian, Kehutanan dan Perikanan",5531.32
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,B,Pertambangan dan Penggalian,239.1
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,C,Industri Pengolahan,300.45
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,D,Pengadaan Listrik dan Gas,22.29
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",14.87
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,F,Konstruksi,2331.48
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2882.66
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,H,Transportasi dan Pergudangan,1018.34
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,I,Penyediaan Akomodasi dan Makan Minum,182.38
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,J,Informasi dan Komunikasi,2056.03
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,K,Jasa Keuangan dan Asuransi,862.23
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,L,Real Estate,474.04
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,MN,Jasa Perusahaan,29.89
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2948.86
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,P,Jasa Pendidikan,1702.45
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,PDRB,Produk Domestik Regional Bruto,21491.65
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,542.88
ADHK,Nusa Tenggara Timur,2025,Q4,2025Q4,RSTU,Jasa Lainnya,352.38
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,A,"Pertanian, Kehutanan dan Perikanan",5392.32
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,B,Pertambangan dan Penggalian,248.06
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,C,Industri Pengolahan,294.21
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,D,Pengadaan Listrik dan Gas,20.93
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",15.89
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,F,Konstruksi,1880.59
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",2702.83
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,H,Transportasi dan Pergudangan,922.57
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,I,Penyediaan Akomodasi dan Makan Minum,167.96
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,J,Informasi dan Komunikasi,2071.27
ADHK,Nusa Tenggara Timur,2026,Q1,2026Q1,K,Jasa Keuangan dan Asuransi,869.43
