price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,D,Pengadaan Listrik dan Gas,28.66
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.35
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,F,Konstruksi,2133.24
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3608.64
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,H,Transportasi dan Pergudangan,896.61
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,I,Penyediaan Akomodasi dan Makan Minum,701.57
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,J,Informasi dan Komunikasi,479.96
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,K,Jasa Keuangan dan Asuransi,391.24
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,L,Real Estate,784.53
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,MN,Jasa Perusahaan,61.62
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1064.24
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,P,Jasa Pendidikan,616.08
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,PDRB,Produk Domestik Regional Bruto,22814.88
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,291.64
ADHB,Kep. Bangka Belitung,2022,Q1,2022Q1,RSTU,Jasa Lainnya,200.53
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,A,"Pertanian, Kehutanan dan Perikanan",4513.87
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,B,Pertambangan dan Penggalian,2340.2
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,C,Industri Pengolahan,5383.31
ADHB,Kep. Bangka Belitung,2022,Q2,2022Q2,D,Pengadaan Listrik dan Gas,27.48
