price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kalimantan Utara,2021,Q1,2021Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,304.0
ADHB,Kalimantan Utara,2021,Q1,2021Q1,RSTU,Jasa Lainnya,194.05
ADHB,Kalimantan Utara,2021,Q2,2021Q2,A,"Pertanian, Kehutanan dan Perikanan",4495.68
ADHB,Kalimantan Utara,2021,Q2,2021Q2,B,Pertambangan dan Penggalian,7340.71
ADHB,Kalimantan Utara,2021,Q2,2021Q2,C,Industri Pengolahan,2428.53
ADHB,Kalimantan Utara,2021,Q2,2021Q2,D,Pengadaan Listrik dan Gas,14.76
ADHB,Kalimantan Utara,2021,Q2,2021Q2,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",16.6
ADHB,Kalimantan Utara,2021,Q2,2021Q2,F,Konstruksi,3715.97
ADHB,Kalimantan Utara,2021,Q2,2021Q2,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3415.86
ADHB,Kalimantan Utara,2021,Q2,2021Q2,H,Transportasi dan Pergudangan,1765.18
ADHB,Kalimantan Utara,2021,Q2,2021Q2,I,Penyediaan Akomodasi dan Makan Minum,407.55
ADHB,Kalimantan Utara,2021,Q2,2021Q2,J,Informasi dan Komunikasi,721.66
ADHB,Kalimantan Utara,2021,Q2,2021Q2,K,Jasa Keuangan dan Asuransi,309.03
ADHB,Kalimantan Utara,2021,Q2,2021Q2,L,Real Estate,203.49
ADHB,Kalimantan Utara,2021,Q2,2021Q2,MN,Jasa Perusahaan,60.37
ADHB,Kalimantan Utara,2021,Q2,2021Q2,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1329.5
ADHB,Kalimantan Utara,2021,Q2,2021Q2,P,Jasa Pendidikan,688.54
ADHB,Kalimantan Utara,2021,Q2,2021Q2,PDRB,Produk Domestik Regional Bruto,27423.86
ADHB,Kalimantan Utara,2021,Q2,2021Q2,Q,Jasa Kesehatan dan Kegiatan Sosial,311.37
ADHB,Kalimantan Utara,2021,Q2,2021Q2,RSTU,Jasa Lainnya,199.05
ADHB,Kalimantan Utara,2021,Q3,2021Q3,A,"Pertanian, Kehutanan dan Perikanan",4664.56
ADHB,Kalimantan Utara,2021,Q3,2021Q3,B,Pertambangan dan Penggalian,7644.97
ADHB,Kalimantan Utara,2021,Q3,2021Q3,C,Industri Pengolahan,2510.22
ADHB,Kalimantan Utara,2021,Q3,2021Q3,D,Pengadaan Listrik dan Gas,15.64
ADHB,Kalimantan Utara,2021,Q3,2021Q3,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",17.3
ADHB,Kalimantan Utara,2021,Q3,2021Q3,F,Konstruksi,3893.31
ADHB,Kalimantan Utara,2021,Q3,2021Q3,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3513.67
ADHB,Kalimantan Utara,2021,Q3,2021Q3,H,Transportasi dan Pergudangan,1747.13
ADHB,Kalimantan Utara,2021,Q3,2021Q3,I,Penyediaan Akomodasi dan Makan Minum,418.97
ADHB,Kalimantan Utara,2021,Q3,2021Q3,J,Informasi dan Komunikasi,749.38
ADHB,Kalimantan Utara,2021,Q3,2021Q3,K,Jasa Keuangan dan Asuransi,313.94
ADHB,Kalimantan Utara,2021,Q3,2021Q3,L,Real Estate,206.46
ADHB,Kalimantan Utara,2021,Q3,2021Q3,MN,Jasa Perusahaan,62.4
ADHB,Kalimantan Utara,2021,Q3,2021Q3,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1325.78
ADHB,Kalimantan Utara,2021,Q3,2021Q3,P,Jasa Pendidikan,711.12
ADHB,Kalimantan Utara,2021,Q3,2021Q3,PDRB,Produk Domestik Regional Bruto,28318.27
ADHB,Kalimantan Utara,2021,Q3,2021Q3,Q,Jasa Kesehatan dan Kegiatan Sosial,318.85
ADHB,Kalimantan Utara,2021,Q3,2021Q3,RSTU,Jasa Lainnya,204.56
ADHB,Kalimantan Utara,2021,Q4,2021Q4,A,"Pertanian, Kehutanan dan Perikanan",4664.74
